73,49,4,15,2
74,25,57,0,2
23,17,35,9,3
12,66,54,9,19
66,72,39,15,3
22,50,4,2,16
32,42,27,11,14
29,13,57,7,8
29,12,8,15,16
56,54,69,2,5
48,3,53,19,16
43,63,56,3,15
34,5,0,2,13
54,68,31,16,15
22,66,17,17,13
21,40,64,2,17
44,41,56,14,12
39,43,71,15,1
28,54,73,8,18
68,8,12,2,6
17,24,64,17,13
22,10,48,18,2
25,33,20,3,7
28,22,0,14,4
68,29,51,13,8
69,37,43,6,4
64,1,40,9,10
48,53,0,1,17
2,23,52,8,14
9,28,58,7,14
3,32,58,9,11
18,25,38,11,7
54,28,10,9,17
0,67,37,0,15
4,54,13,6,4
49,43,7,3,15
13,13,39,12,4
40,15,69,0,9
3,34,7,3,10
66,65,22,13,5
64,33,22,13,16
1,29,34,11,19
41,74,29,16,13
73,23,41,15,16
20,48,67,9,14
23,70,29,12,8
72,12,33,19,17
25,72,21,11,8
61,55,35,15,3
60,66,61,6,1
19,23,61,12,19
25,35,74,5,12
0,52,69,5,13
61,12,45,3,4
6,46,6,13,3
44,3,29,12,7
42,27,7,14,19
12,54,74,3,16
33,63,40,8,16
13,14,63,14,4
14,42,22,15,10
38,64,40,17,14
47,12,1,15,6
40,67,72,11,15
61,49,21,16,2
72,40,69,2,6
45,52,43,5,14
5,8,16,15,2
65,70,64,11,0
7,8,19,10,14
51,43,50,9,4
53,23,11,19,6
12,46,15,17,16
64,37,24,15,10
54,70,55,18,8
7,51,23,3,13
47,54,1,10,16
47,30,29,14,4
15,71,2,10,6
19,20,20,5,17
57,74,50,17,0
13,21,48,19,19
6,61,56,9,18
62,31,68,1,0
47,9,64,7,1
47,46,13,7,8
16,50,20,16,19
17,56,11,5,10
12,48,34,13,2
72,32,63,1,1
56,15,35,10,7
28,69,65,17,16
11,58,13,13,6
3,25,59,6,0
32,3,63,11,19
72,40,58,15,13
9,18,1,11,10
20,50,34,16,2
21,74,52,6,12
55,14,32,19,10
