32969,8674,15222,10745,128
33170,8538,15392,10894,256
33371,8403,15563,11044,384
33572,8269,15735,11196,512
33774,8136,15907,11347,641
33975,8003,16080,11500,769
34176,7872,16253,11654,897
34377,7742,16427,11808,1025
34578,7612,16602,11963,1153
34779,7484,16777,12119,1281
34980,7356,16953,12276,1409
35180,7230,17130,12433,1537
35381,7104,17307,12591,1666
35582,6979,17485,12750,1794
35782,6856,17663,12910,1922
35982,6733,17842,13070,2050
36183,6611,18022,13232,2178
36383,6491,18202,13393,2306
36583,6371,18382,13556,2434
36782,6252,18563,13720,2562
36982,6134,18745,13884,2691
37182,6018,18927,14048,2819
37381,5902,19110,14214,2947
37580,5787,19293,14380,3075
37779,5673,19477,14547,3203
37978,5561,19661,14715,3331
38177,5449,19845,14883,3459
38375,5339,20031,15052,3587
38573,5229,20216,15222,3716
38771,5120,20402,15392,3844
38969,5013,20589,15563,3972
39166,4906,20776,15735,4100
39364,4801,20964,15907,4228
39561,4697,21152,16080,4356
39757,4593,21340,16253,4484
39954,4491,21529,16427,4612
40150,4390,21718,16602,4741
40346,4290,21908,16777,4869
40542,4191,22098,16953,4997
40737,4093,22288,17130,5125
40932,3996,22479,17307,5253
41127,3900,22671,17485,5381
41321,3806,22862,17663,5509
41515,3712,23054,17842,5637
41709,3620,23247,18022,5766
41903,3528,23439,18202,5894
42096,3438,23632,18382,6022
42288,3349,23826,18563,6150
42481,3261,24020,18745,6278
42673,3174,24214,18927,6406
42864,3088,24408,19110,6534
43056,3003,24603,19293,6662
43247,2919,24798,19477,6791
43437,2837,24993,19661,6919
43627,2756,25189,19845,7047
43817,2675,25385,20031,7175
44006,2596,25581,20216,7303
44195,2518,25778,20402,7431
44383,2442,25974,20589,7559
44571,2366,26171,20776,7687
44759,2291,26369,20964,7816
44946,2218,26566,21152,7944
45133,2146,26764,21340,8072
45319,2075,26962,21529,8200
45504,2005,27160,21718,8328
45690,1936,27358,21908,8456
45874,1869,27557,22098,8584
46058,1802,27756,22288,8712
46242,1737,27955,22479,8840
46425,1673,28154,22671,8969
46608,1610,28353,22862,9097
46790,1548,28553,23054,9225
46972,1488,28753,23247,9353
47153,1428,28952,23439,9481
47333,1370,29152,23632,9609
47513,1313,29352,23826,9737
47693,1257,29553,24020,9865
47872,1203,29753,24214,9994
48050,1149,29953,24408,10122
48228,1097,30154,24603,10250
48405,1046,30355,24798,10378
48582,996,30555,24993,10506
48758,948,30756,25189,10634
48933,900,30957,25385,10762
49108,854,31158,25581,10890
49282,809,31359,25778,11019
49455,765,31560,25974,11147
